Datetime,Text
2018-01-01 23:47:58+00:00,"@Indy_Austin If you don't do it, I'm going to buy stock in Tesla and GM tomorrow."
2018-01-01 23:23:07+00:00,Tesla CEO Elon Musk Promises New Models as Stock Plummets https://t.co/jWB32aWfG6 https://t.co/qmB7ypl8To
2018-01-01 22:51:00+00:00,"New post (Tesla Motors Inc., the world’s best-performing automotive stock this year, wil...) has been published on Good Friday Deals - https://t.co/2kbFgEmtt1 https://t.co/EBn61pvJx3"
2018-01-01 22:27:31+00:00,Tesla CEO Elon Musk Promises New Models as Stock Plummets - Breitbart https://t.co/FpkH6np5nb https://t.co/27YVLeBcrq
2018-01-01 22:16:41+00:00,Top 10 Questions About Driving a #Tesla and one stock to buy https://t.co/qq5UP03A2F $TSLA https://t.co/2vnL1e8ywD
2018-01-01 21:29:12+00:00,Tesla CEO Elon Musk Promises New Models as Stock Plummets https://t.co/vsBoOQvGON via Chriss W. Street
2018-01-01 21:28:15+00:00,Tesla CEO Elon Musk Promises New Models as Stock Plummets - Breitbart --A FULLY ELECTRIC PICKUP TRUCK. Riiiiiight.  Go for it.  https://t.co/0eQfAhyz7y
2018-01-01 21:24:32+00:00,Tesla CEO Elon Musk Promises New Models as Stock Plummets - Breitbart https://t.co/qgE7ophbRw via @BreitbartNews
2018-01-01 19:18:52+00:00,New article (Tesla CEO Elon Musk Promises New Models as Stock Plummets) has been published on Orange County Daily Digest - https://t.co/4pWlszkoi0 https://t.co/HzIg32Goww
2018-01-01 19:06:54+00:00,Tesla CEO Elon Musk Promises New Models as Stock Plummets https://t.co/kX6MpFAbrl
2018-01-01 19:03:32+00:00,Economic reality of Govt using tax dollars to prop #Tesla are hitting hard: CEO Elon Musk Promises New Models as Stock Plummets - Breitbart https://t.co/NFNBsj3Tui
2018-01-02 23:34:14+00:00,"Come on in and check out the new mods we have in stock!  Wismec CB60 in three colors, Tesla WYE 200W boxes in two colors, The New Fuchai Squonk, and New Colors of the Aegis by Geek Vape! https://t.co/zk2OAqNmVs"
2018-01-02 22:06:13+00:00,Tesla Stock Begins 2018 in Bear Market Territory - https://t.co/935lqpEsZT #stock #news https://t.co/BU1IB5dDXc
2018-01-02 22:05:02+00:00,Tesla Stock Begins 2018 in Bear Market Territory https://t.co/jOpDXpSA7d | #Tesla #Stocks #StockMarket #BearMarket https://t.co/AMhNO7Kgzl
2018-01-02 21:04:57+00:00,More Bad News Expected for Tesla Inc ($TSLA) | Stock Market News | US News https://t.co/cSVvypXwAP
2018-01-02 19:35:26+00:00,#RFID #CARKEY #BLOCKER #Cartheft #cctv #Mercedes #Tesla #TeslaMotors #TeslaModelS #teslamodelx #BMW #BMWi8 now in stock https://t.co/QFsVb8RpX0 https://t.co/Yr3z7h1kv8
2018-01-02 19:33:17+00:00,"As Tesla (TSLA) Stock Price Rose, Holder Baillie Gifford &amp; Company Has Trimmed Position; As ... https://t.co/WKt5qC0Xfz"
2018-01-02 19:30:00+00:00,"Tesla CEO Elon Musk Promises New Models as Stock Plummets
https://t.co/nJHDK8oLxh https://t.co/BnfA7VhUhV"
2018-01-02 19:16:01+00:00,Tesla Stock Begins 2018 in Bear Market Territory https://t.co/shB0pgcezO | #Tesla #Stocks #StockMarket #BearMarket https://t.co/VmgI5hvHzG
2018-01-02 19:02:50+00:00,"#Tesla stock turned out to be an amazing investment, read here: https://t.co/mu3zEg5NLY $TSLA #TeslaMotors #ElectricVehicle #ElonMusk"
2018-01-02 18:37:33+00:00,"mobility Articles : Self-Driving Cars: Tesla, General Motors, Google's Waymo Eye 2018 Milestones | Stock News &amp; Stock Market Analysis - IBD https://t.co/0i4DJJvoX9"
2018-01-02 18:29:57+00:00,More Bad News Expected for Tesla Inc (TSLA) | Stock Market News | US News https://t.co/Nqy8sjxdBu
2018-01-03 23:52:34+00:00,"Prediction vs stock price, homie.  At $300+/sh  1500 M3 Production / Q when 5K  was the ""prediction"" is not an exemplification of growth.   $TSLA #TESLA https://t.co/18ej3ar1cU"
2018-01-03 23:50:07+00:00,Tesla stock afterhours update https://t.co/oHK2QUE25U
2018-01-03 23:37:00+00:00,"@toddbarnard @davezatz Never heard of a production curve? I’m sure Toyota went from making 20,000 cars a year to 500,000 without any kind of production ramp up. How much are you shorting Tesla stock?"
2018-01-03 23:23:37+00:00,"Sooo #ShortsVille has the OK to ""encourage"" $TSLA stock price down to $10 since the Ramp is behind. Cool. Thanks Gene.. $TSLA #TESLA https://t.co/THPFrNF6pG"
2018-01-03 23:19:03+00:00,"“Tesla delivered just 1,550 Model 3s in the final quarter of last year.”
What justifies their stock price? Millennial Faith (name for a band?) https://t.co/mMvAjuRUpI"
2018-01-03 22:59:25+00:00,"You Dont Need To Be Psychic To Know This Was Going To Happen Again - #Tesla Misses Model 3 Deliveries By 50%, Delays Production Goal As The Stock Sells Off #Tech https://t.co/TEGDaSur7r https://t.co/KaVRI6nZXd"
2018-01-03 22:35:49+00:00,"@danahull Being one of the lucky few to buy our @Tesla #Model3, if the stock takes another dip here, We'll be getting near a new buy point fpr $TSLA"
2018-01-03 22:26:09+00:00,Tesla 2017 Sales – Model 3 Disappoints In Record Year https://t.co/sCklGbh5nk
2018-01-03 22:24:35+00:00,@cnbcFastMoney Are you kidding me? $Tesla the reason the stock is not down more is that it is not a car company? Is Tesla paying you!?? https://t.co/YT5EofiOLO
2018-01-03 22:17:23+00:00,"$TSLA New SEC Document(s) for Tesla, Inc.
From our Stock News Alerts App"
2018-01-03 21:48:22+00:00,More Bad News Expected for Tesla Inc (TSLA) | Stock Market News | US News https://t.co/RFwg25cJcc
2018-01-04 23:52:45+00:00,I liked a @YouTube video https://t.co/TZQSn4cJin The https://t.co/3zc4F2yNAz says Tesla stock tanks on Model 3 miss. Patient institutions happy
2018-01-04 23:48:07+00:00,Tesla’s Model 3 Delivery Miss Gives Fodder for Both Stock Bulls and Bears https://t.co/rXb8kwJosD
2018-01-04 23:47:58+00:00,Tesla’s Model 3 Delivery Miss Gives Fodder for Both Stock Bulls and Bears https://t.co/LuXKQuBcBC
2018-01-04 22:59:15+00:00,All colors &amp; trims are always in stock: The Tesla Model S isn’t the first truly autonomous… https://t.co/3XGkh3hUcE
2018-01-04 22:00:08+00:00,"@CNBCClosingBell 
Hey kelly, $tsla....imagine that tesla finally gets to the volume for model 3. The stock will go through the roof."
2018-01-04 21:36:24+00:00,Tesla stock: The new Big Short? https://t.co/geBG3Juqbu via https://t.co/Htfsaib0Ws
2018-01-04 21:36:22+00:00,Tesla stock: The new Big Short? https://t.co/cV3RaotKyW via https://t.co/Htfsaib0Ws
2018-01-04 21:21:56+00:00,Tesla stock: The new Big Short? Tesla unveils a new electric semi-truck https://t.co/kdX5rlQYPW #tech #cryptocurrency #money https://t.co/jmblpiQvqC
2018-01-04 20:47:56+00:00,Tesla stock: The new Big Short? Tesla unveils a new electric semi-truck https://t.co/pVvNJJ5cYU #ai #business #news https://t.co/tVOD3gU4Al
2018-01-04 20:43:18+00:00,Tesla stock: The new Big Short? https://t.co/kdX5rlznrm https://t.co/KY84o4GoM4
2018-01-04 20:26:42+00:00,#Tesla stock acting weak relative to...everything! Will be watching this trendline closely for a break. $TSLA https://t.co/H6uKNU7q2s
2018-01-05 23:42:51+00:00,"@SageCanaday @Tesla Up 33% over the last year. BUT, you got in before the wide release of the Model 3s! Good reviews should boost it a bit. Don't look at the current Tesla stock ratings (they're bad--but only because it's gone up so much already). Welcome to the solar-powered ride to the future!"
2018-01-05 23:39:00+00:00,"Tesla Inc Stock In The Year Of The Model 3, Part Deux $TSLA https://t.co/h8GtcUqbC1"
2018-01-05 23:37:00+00:00,"Bought some more @Tesla stock last night because the price went down a bit...for a bit. Am i doing this ""investing"" thing right? #ihavenoideawhatimdoing . #GoTesla"
2018-01-05 23:01:50+00:00,"@cloneyourlover @thedrive @Tesla Didn't see any S/X/3 Autopilot analysis there.
He might have moved the stock price if #Journalism.
Instead, a Doug Score."
2018-01-05 21:51:41+00:00,"Tesla a bet on Model 3 production, misses estimates for Q4 production by 50%
TSLA stock: unchanged. 

Elon is the new Teflon Don"
2018-01-05 21:26:07+00:00,"Tesla Inc Stock In The Year Of The Model 3, Part Deux https://t.co/fQPJUwfoMA https://t.co/QimN5zvOZG"
2018-01-05 21:22:07+00:00,"Tesla Inc Stock In The Year Of The Model 3, Part Deux https://t.co/homXZDHnol https://t.co/kbEQFsTZLh"
2018-01-05 20:34:24+00:00,"Tesla Inc Stock In The Year Of The Model 3, Part Deux https://t.co/bruTAlk6di #ValueWalk https://t.co/US7P9qzOAP"
2018-01-05 20:17:36+00:00,@KH_CPA Tesla dumps when $F or $GM reports anything bad about their electric cars. Never seen a so called leader stock constantly roll over like $AMD. I own both! What was I thinking! lol
2018-01-05 20:01:17+00:00,"Tesla stock: The new Big Short?
https://t.co/h2cEg5WX3S"
2018-01-05 20:00:21+00:00,#NoticiasTF Tesla stock: The new Big Short?. Fuente: CNN https://t.co/bTj4hy2XgO
2018-01-06 22:24:33+00:00,@SmallCapsMan @IvanTheK @EricSteiman @jciv I think the market for Tesla stock is efficient. See... people who can’t talk without insults will get blocked. Who are you exactly?
2018-01-06 19:29:54+00:00,@Simbuilder Can y’all fix the Tesla R.. time? After an update about 2 weeks ago they have beaten almost every car and the expensive cars that had high speed can’t get there anymore the Lamborghini Hurricane used to get 260mph on stock now I can’t even get to 200 with out the help of nos.
2018-01-06 17:48:07+00:00,TSLA Stock: Tesla Model 3 accelerates from 0-60 mph in 4.6 secs – faster than Tesla… https://t.co/Szgq1es6yL
2018-01-06 17:17:19+00:00,"@elonmusk when 2018 gets hard for Tesla car production, take serious consideration in doing an ICO instead of issuing traditional stock. we are all rooting for Tesla to succeed."
2018-01-06 16:55:55+00:00,"USE MY LINK AND GET A FREE STOCK!😉💯😁👉it could be anything from Apple, Tesla, and Facebook to… https://t.co/akDebJFCf4"
2018-01-06 16:16:11+00:00,Franz Takes An Afternoon Cruise In New Tesla Roadster https://t.co/BaPb92XJof
2018-01-06 15:49:55+00:00,"@chardisty @amazon @Tesla That's a good point.  Or, maybe more precisely, enthusiasm for future stock prices."
2018-01-06 15:49:31+00:00,"@markbspiegel @mattdebord More you bash tsla, the higher the stock go. Tesla is a scam, why do you report it to sec"
2018-01-06 14:56:10+00:00,DragTimes Clocks Tesla Model 3 At 4.66 Seconds In 0-60 MPH Dash – Video https://t.co/SjRaFiWkrl
2018-01-06 14:36:50+00:00,"Elon Musk says Tesla doesn't 'deserve' market value

Tesla founder Elon Musk says the electric car maker doesn't deserve its current stock market value.

https://t.co/VGBmaC5pT5"
2018-01-06 14:30:24+00:00,"Tesla Model 3 numbers, missing hydrogen stations, electric-car sales, 2018 Leaf: The Week in Reverse - Green Car Reports https://t.co/m36rSG3eSO"
2018-01-07 23:59:05+00:00,@AlgoSlayer You are anti-American. You hate Tesla and the stock market .
