Datetime,Text
2020-01-01 23:56:55+00:00,"Dow Jones Futures Signal Stock Market Rally Gains: Tesla Deliveries Loom For Tesla Stock; Google, Disney Test Support| Investor's Business Daily https://t.co/Mbgu0Tz15p"
2020-01-01 23:30:43+00:00,"@markbspiegel While I completely agree with your fundamental view on Tesla..why not try and profit from Tesla's stock trends / momentum (upward or downward). Just because its a fraud, doesn't mean you shouldn't profit from the hype around it."
2020-01-01 23:18:11+00:00,Tequila and 2020! | Surround yourself with GREAT PEOPLE! | Don't forget to FOLLOW! | !merch !site !discord !social !stock !tesla https://t.co/W5VVb6FchG
2020-01-01 23:18:07+00:00,"@LarrySabin1 @PlainSite if you assume that the tesla stock price, ever dependent on
fantastical lies about future products and profits to be generated, is equivalent to a ponzi's payouts, there is no functional difference. this is a public equity ponzi if there ever was one."
2020-01-01 23:09:44+00:00,"$TSLA Tesla, Inc.  - Common Sto Top stock up 141% from low. Close: 418.33 VolvsAvg: 0.85 Liq: $4234M https://t.co/9omnK2zCuR"
2020-01-01 22:55:23+00:00,"@LarrySabin1 It's not a pure ponzi, obviously. But it has elements - there's a reason early buyers also owned shares and did everything they could to convince their friends and family to buy one. They got paid in appreciated stock prices for enabling Tesla's growth narrative."
2020-01-01 22:04:44+00:00,"My Prediction for #Tesla in 2020:

1) ~600k cars will be delivered 
2) stock price hitting ATH of ~$500+"
2020-01-01 22:04:07+00:00,"Everybody use my link to sign up and download the free Robin Hood app, and you'll get one free share of some random companies stock. Could be Apple or Tesla or it could be some other random company lol. So far I've gotten two free shares of GoPro. Go go go https://t.co/XtD4SpFLhH"
2020-01-01 22:00:23+00:00,Why is @Tesla wall connector always out of stock? I've been trying to buy for 6 months.
2020-01-01 20:35:41+00:00,@lovemesomemusk @EliBurton_ @Sofiaan @vincent13031925 @flcnhvy @Gfilche @teslaphotografr 2 Tesla fanatics I know with no Tesla in life at all. Someone stock up their bank account or buy them a car already!
2020-01-01 20:32:51+00:00,"@vincent13031925 Street analysts are falsely legitimized as experts. The entire wallstreet analysis is based on a flawed risk analysis. 1)all car startups have failed since the 1950s 2)the stock is volatile 3)a recession would hurt Tesla, and assume it will only hurt Tsla and no one else"
2020-01-02 23:59:57+00:00,People saying @Tesla stock price high but when they are competing against @Boeing one day they’ll think “How did we not see this coming?!” @Gfilche Trillion baby! @elonmusk #tesla @TeslaPodcast @TeslaMotorsClub @Teslarati
2020-01-02 23:58:22+00:00,3 good news came from Tesla today. Expect the stock price to rise to $515 target that Wall Street slapped on it. 🙌🏾
2020-01-02 23:58:13+00:00,There's a new biggest Tesla bull on Wall Street — and he expects the stock to surge 23% in 2020 #SupplyChain #Tesla #investors #stockmarkets #AutomotiveIndustry  https://t.co/THBzyeQiB0 https://t.co/WlP5O9LSww
2020-01-02 23:54:28+00:00,"@mgeorge @StrangerPensive @FUDlife420 @Tesla @elonmusk it is simple really. and it is all about the stock price. 

straight from the horses mouth...

while he was still building the brand, service was amazing (tiny fleet of six figure cars) but now that higher volume production is here; the centralize service model no longer scales. https://t.co/gc3MXnd15b"
2020-01-02 23:31:02+00:00,A rally in the electric-car maker ( Tesla) I view that as a proxy for excess exuberance in stock markets.
2020-01-02 23:30:58+00:00,"@ModelYendofICE @Goldfiinger77 @tesla_explodes Although the stock price might due to buybacks, $AAPL's market cap is unlikely to double from today's $1.3T, ever."
2020-01-02 23:30:00+00:00,"Why Cannacord Thinks Tesla Stock Will Cross $500 
#Tesla #StockMarket 
https://t.co/kL95cUBaLC"
2020-01-02 23:23:47+00:00,Tesla..What Can You Say!! #tesla #tsla #stock #stockmarket #options #money #cars #tech #technology https://t.co/yhsG8kpuyL
2020-01-02 23:21:05+00:00,2020 day 1 on the stock market... Apple just keep on making new highs now over $300 a share. Here come amazon at $1900+ a share. Tesla back at $430+ grabbing the bulls by the horn and riding it
2020-01-02 23:18:43+00:00,@Teslarati I asked a stock guy that does well if Tesla would go pass 500 or beyond he said nope he made his money and is out. I say it's still buyable he said it's over. Time will tell who is right or wrong.
2020-01-02 23:14:24+00:00,"@tweetmyinbox @solves @barekstengin @Bareksten @montana_skeptic @WSJ Tesla short-sellers have lost almost $8 billion during the stock's rally to a record high
https://t.co/bhZLvBPl88"
2020-01-03 23:53:06+00:00,"$TSLA NEW ARTICLE : Wedbush's Ives Says Tesla's EV Vision Taking Off, Stock May Hit $600 https://t.co/cjilMdKQmW Get all the latest $TSLA related news here : https://t.co/E1O3FaTf6s https://t.co/JPTrmCa56Y"
2020-01-03 23:52:59+00:00,"Wedbush's Ives Says Tesla's EV Vision Taking Off, Stock May Hit $600 https://t.co/oYwyXR2wbe via @YouTube"
2020-01-03 23:48:13+00:00,@jonwarcope @Tesla You should short the stock then lol. Highly doubt you understand the financials
2020-01-03 23:38:39+00:00,"Tesla's EV Vision Taking Off, Stock May Hit $600, Says Wedbush's Ives https://t.co/ufo0KZyOjR"
2020-01-03 23:38:30+00:00,"Tesla's EV Vision Taking Off, Stock May Hit 00, Says Wedbush's Ives https://t.co/60DfcommCG https://t.co/CknZclMieF"
2020-01-03 23:22:03+00:00,"Stock Market Today: Is the Rally Ruined?; Tesla’s New Record

$LMT $TSLA $RTN  

https://t.co/UBW0M7xcW0"
2020-01-03 23:17:24+00:00,Tesla appears to have turned a corner as Model 3 deliveries hit a record — and the stock followed suit https://t.co/70z34KSJYN
2020-01-03 23:17:01+00:00,"If you took your first-gen iPod money and put the 399 into apple stock, it would be with 58,000 today. Not gonna make the same mistake with Tesla."
2020-01-03 23:15:22+00:00,"@nolanolegal @jsterling86 @mitchysuch the highway is alight tonight
obama’s foolin people
as to where it goes
sittin down here in the
campfire light
tesla stock’s gone to zero"
2020-01-03 23:11:10+00:00,"Mr. Johan Nel, I am very sorry if I was rude. I do not want to overtake you in the stock business. I was wrong to say that Tesla Motors would die. Please accept my apology."
2020-01-03 23:09:14+00:00,Tesla stock hits record as 2019 sales rise more than 50% https://t.co/bm6nRGxqNd
2020-01-04 23:46:37+00:00,"@OjamaaMikk @drennan10 When ""they solve it,"" Tesla will charge a lot more than current price for FSD, meaning Greg is unlikely to be able to use his profits from the stock price surge to buy FSD at the current price or anything close to it."
2020-01-04 23:40:48+00:00,"@elonmusk hey elon, nice job on the 3bil short sellers lost on your stock. Couple weeks ago we were all joking about tesla 420. Do you think you can get that fake elon account that claims to give free Bitcoins banned tho? Thanks bby"
2020-01-04 23:29:09+00:00,"5G growth, record Tesla deliveries, and streaming war fallout: These are one stock analyst's top 10 predictions for tech in 2020 -  https://t.co/e70xSloFmQ"
2020-01-04 23:26:50+00:00,@GerberKawasaki Stick to your Tesla Stock opinions since you clearly don’t know what you are talking about here!
2020-01-04 23:17:29+00:00,@FullyChargedDan @elonmusk @Tesla @Model3Owners @Teslarati @Model3UKOwners @TeslaOwnersUK @TeslaInTheUK @teslaownersSV @bobbyllew @ManMadeMoon Things are a lot better for the business when the stock prices are not involved
2020-01-04 23:16:53+00:00,"@thirdrowtesla Gali gets a shout out from Jack!

Watch ""Why I'm Now Shorting Tesla Stock - Jack Rickard EVTV"" on YouTube
https://t.co/cDjOBYHSiM"
2020-01-04 23:02:46+00:00,I wonder if Tesla stock will ever have anything in common with these https://t.co/rZEagVX1EO
2020-01-04 22:45:01+00:00,@CJ_Johnson17th Then you buy more land and rent it out to others who want to plant seeds. Then use that money to buy stock in Tesla lol
2020-01-04 22:33:44+00:00,"And predictions to boot from @karaswisher and @profgalloway. Great listen.

'California is regulating consumer data privacy, the gig economy revisited, and Tesla’s big stock spike.' by Pivot https://t.co/t7TgOnYpJF"
2020-01-04 22:27:23+00:00,"@ValueAnalyst1 What do think about the EV expert's thoughts on the stock price?

Watch ""Why I'm Now Shorting Tesla Stock - Jack Rickard EVTV"" on YouTube
https://t.co/cDjOBYHSiM"
2020-01-04 22:26:53+00:00,"Tesla (TSLA) Stock Quotes, Company News And Chart Analysis https://t.co/FStSMjJ7tu"
2020-01-05 23:12:36+00:00,I'm gonna throw in another hundred dollars into Tesla stock
2020-01-05 23:10:51+00:00,I just want a tesla stock for my bday
2020-01-05 22:56:28+00:00,@BLKMDL3 Dang that looks so gooood. Now is a great time to buy Tesla Stock.
2020-01-05 22:56:07+00:00,"@ChrisDungeon @teslectrics People who owns Tesla stock or short it heavily should buy a ticket to shanghai, or Beijing to see how Chinese people are so crazy about model 3 at  300,000 Rmb, or download Weibo and see what people are talking about Tesla, find out why China government need Tesla to succeed!"
2020-01-05 22:53:46+00:00,Tesla..What Can You Say!! #tesla #tsla #stock #stockmarket #options #money #cars #tech #technology https://t.co/dGXFOK5JCX
2020-01-05 22:27:06+00:00,"Tesla (TSLA) Stock Quotes, Company News And Chart Analysis https://t.co/JZnmJeYcKl"
2020-01-05 22:20:24+00:00,"reminder that tesla stock has nearly doubled in the past six months

elon is the one billionaire who's actually using his money to improve the world god bless that awkward motherfucker"
2020-01-05 21:57:33+00:00,@gwestr @TESLAcharts @georgia_orwell_ Well now you get a different forum to tell us all how much Tesla sucks &amp; how stupid we are &amp; the cars are dangerous &amp; pick numbers out of butt ($295) to proclaim where the stock is going &amp; we must all get out and should listen to you because you know 'facts' that no one else has.
2020-01-05 21:53:13+00:00,Whatever the reason Tesla is not a growth company and the stock is very overvalued $tsla $tslaq https://t.co/8rMlUqyQEC
2020-01-05 21:42:07+00:00,Tesla stock hits record high as deliveries top forecast https://t.co/om0tFCfzNo
