Datetime,Text
2019-01-04 23:26:30+00:00,"Estonian Exchange Offers Tokenized Stock Trading for Companies like Apple, Google, and Tesla  https://t.co/0EoOSFbM2k"
2019-01-04 23:21:57+00:00,"Reasons to work @Tesla
Great health benefits
401k
Stock investment
Base Pay starting at $17
Tesla perks 
To help transition the world to use sustainable energy. 
Put me as a reference! https://t.co/piH1SvnRGk"
2019-01-04 23:15:51+00:00,"Estonian Exchange Offers Tokenized Stock Trading for Companies like Apple, Google, and Tesla https://t.co/wZkbiR91dF"
2019-01-04 23:09:34+00:00,"@elonmusk, how about a 4-1 stock split for fair @Tesla?"
2019-01-04 23:06:01+00:00,Tesla Stock on a Blockchain Offers Hint of Where Crypto's Headed https://t.co/6ZZwAumxLt
2019-01-04 22:45:01+00:00,#Tesla Stock on a #Blockchain Offers Hint of Where #Crypto's Headed: https://t.co/ZXuAKCGyRS
2019-01-04 22:38:31+00:00,"Estonian Exchange Offers Tokenized Stock Trading for Companies like Apple, Google, and Tesla https://t.co/6MgG8wapCW https://t.co/jtFn0oOmSK"
2019-01-04 22:08:51+00:00,Ethereum will Hold Apple and Tesla Stock Next Week https://t.co/gqLQ4yGRY6
2019-01-04 21:57:41+00:00,"Estonian Exchange Offers Tokenized Stock Trading for Companies like Apple, Google, and Tesla | BTCMANAGER https://t.co/NAWJCeZZBl"
2019-01-05 23:28:03+00:00,"Tesla stock price crashes 10% on vehicle price cut, missed delivery estimates - TechCrunch https://t.co/VcutWNEGWG https://t.co/TMLpbNB48z"
2019-01-05 23:11:47+00:00,@elonmusk Tesla stock about to tank back to $180 that’s why you put “...” 😂💀
2019-01-05 22:56:10+00:00,"Effect of S&amp;P 500 for $TSLA?:  stock appreciation ~5-20%.

Tesla has likely entered a period of prolonged &amp; persistent profitability.

$TSLA $tslaq
https://t.co/e0EgbTy6Am"
2019-01-05 22:31:28+00:00,Tesla Stock on a Blockchain Offers Hint of Where Crypto's Headed #BuiltOnEthereum https://t.co/ECI4xhrq0p #bch #bitcoin #eth #ethereum
2019-01-05 22:07:00+00:00,"@StevenL59076522 @jwheels74 @realDonaldTrump @Tesla Oh my gosh, are still going? In what world do you actually live in? Give me facts the economy is booming because last I checked the stock market keeps falling. The tax deficit is UP 2 trillion dollars. Our allies are fuming, our enemies are rejoicing and trump is still an idiot."
2019-01-05 20:58:09+00:00,Tesla Stock Drops After Elon Musk’s Emotional Interview With The NYT https://t.co/fPwoYjttZV https://t.co/Fj7rHIRjZX
2019-01-05 20:30:12+00:00,"@ARKInvest @CathieDWood I’d like to know if ARK’s team members actually have the freedom to fully disagree on Cathie Woods highest conviction plays..Especially a polarizing stock like Tesla, but also SSYS, Bidu/TCEHY, Square, Nividia, NVTA, NTLA, ILMN."
2019-01-05 20:00:55+00:00,"Apple, Facebook, And Tesla Stock Become #Tokenized On #Ethereum, Available Next Week
https://t.co/UV0JAbsaio"
2019-01-05 19:53:44+00:00,Tesla Motors Inc $TSLA Stock Price  While Sentiment  Worsens https://t.co/F7Xi7LsfUu
2019-01-05 19:52:37+00:00,@markbspiegel Guy should buy Tesla stock so we can see a price cut on that too
2019-01-05 18:55:40+00:00,"@jurabilis The Godfather actually made a more honest living.  People pay for vices knowing what they are.  People pay for Teslas and get lemons, or buy worthless Tesla stock expecting big cash cow dividends in 2037.   $tslaq"
2019-01-06 23:49:02+00:00,Tesla Stock Pops as PepsiCo Pre-Orders 100 Semi Trucks - https://t.co/hhMHgj8Ob2
2019-01-06 22:43:38+00:00,"Shorting Tesla is a massive fools errand in my opinion. The history of illogical stock behavior is so long, I think it is much better to focus on the thousands of other stocks not defended by accounting fraud and financial hedging. 

Yes it will drop, but it is booby trapped"
2019-01-06 22:18:37+00:00,Juul (teenage vaping company) is valued at $38billion. Tesla (world leading electric car/energy storage/solar company) is only worth $56billion. Stock market valuations are a joke. People are *insane*.
2019-01-06 21:51:03+00:00,"Estonian Exchange Offers Tokenized Stock Trading for Companies like Apple, Google, and Tesla https://t.co/TqG5JR1KID https://t.co/HNTQb2qeFx"
2019-01-06 21:39:49+00:00,@JamesSantelli1 @InsideEVs @Tesla Have you shorts not seen the new Lathrop plant?  I'm serious.  Have you not seen it?  Disclosure: long tsla calls and stock.
2019-01-06 21:27:16+00:00,Tesla Offers New Wheel Option On Model 3 Performance In China https://t.co/NhH5TJIgDp
2019-01-06 20:04:30+00:00,@passthebeano @elonmusk Why add Tesla’s stock to this.? You know SpaceX isn’t Tesla right? Not everything Elon has his hands in is Tesla.
2019-01-06 18:28:37+00:00,CAN TESLA STOCK 'CRASH' OVER 70% IN 2019? https://t.co/7Nq154Eebz
2019-01-06 18:28:25+00:00,I added a video to a @YouTube playlist https://t.co/7Nq154Eebz CAN TESLA STOCK 'CRASH' OVER 70% IN 2019?
2019-01-06 18:14:12+00:00,"@vijaygovindan17 @cleantechnica Don't forget, Tesla is priced as a high growth company, and typically you don't see high growth companies cutting prices. If Tesla were to be valued like other car companies, where do you think the stock would trade?"
2019-01-06 17:59:06+00:00,"@TeslaM3_ @Tesla @elonmusk Are you using stock snow tires or 3rd party? Stock snow tires should be fine after about 50 miles of ""learning"". 3rd party snow tires had issue and supposed to be fixed in the latest update (2018.50.x)"
2019-01-07 23:13:56+00:00,"$TSLA The farce that is @Tesla does not have much demand and does not need a new factory other than to pump stock price. 
Co has no money to build factory unless people buy a lot of cars today. 
But, the cult remains faithful to a stock promoter who settled with SEC for fraud. https://t.co/dPZEDDBpWp"
2019-01-07 23:07:00+00:00,"saw ""karkat vantas seems to be the type of guy to own tesla stock"" 
i can't tell how valid this take is lads"
2019-01-07 22:19:58+00:00,*buys all their stock* 👉🏼 Tesla's new Solar Roof is actually cheaper than a normal roof. https://t.co/t4tqNSZ0w3
2019-01-07 22:13:25+00:00,"@Kaih042018 @liamdenning @bopinion @business @Tesla There’s zero evidence Tesla has any cash to build the China factory.  So yeah, any stock rise on Elon’s latest pump is overkill."
