Datetime,Text
2018-01-02 09:28:16+00:00,Stock Yards Bank &amp; Trust Co. Has $20.79 Million Position in Microsoft Co. $MSFT https://t.co/xe0z6LoKk0
2018-01-04 20:02:35+00:00,Microsoft Corporation: 99 (-25.94%) https://t.co/wLqQeOCTOD $MSFT #Microsoft #Sentiment #Stock #Analysis #BigData
2018-01-04 16:27:33+00:00,"Microsoft $MSFT,  a Dow Jones Indusrial stock moved above $87.50 to an all-time high extending an intermediate uptrend. https://t.co/RwUKezKFu2"
2018-01-06 17:34:50+00:00,@jenmacchiarelli There used to be stories about all the secretaries at Microsoft that became millionaires owning stock. (The old days they had secretaries) $msft
2018-01-06 16:15:26+00:00,Tradewinds Capital Management Has Decreased Microsoft $MSFT Stake as Stock Value Rose https://t.co/c9HyK40Oxe
2018-01-06 09:54:09+00:00,"$MSFT: Microsoft Corporation has lost a star, now a 3 star stock. (https://t.co/9FXrRT0tbx)"
2018-01-07 22:39:40+00:00,"Look what $NEO #NEO in 3 months!! Just kidding, that is Microsoft's stock price for the last 5 years. What a bore! Zzzz 💤🚀 #cryptocurrency #TRX #XVG #BTC #bitcoin $TRX $XVG $XRP $MSFT #Microsoft https://t.co/LhNxqgzenx"
2018-01-09 20:45:30+00:00,Microsoft $MSFT Stock Rating Lowered by Zacks Investment Research https://t.co/gkKixfg7o2
2018-01-09 19:57:41+00:00,Microsoft $MSFT Stock Rating Lowered by Zacks Investment Research https://t.co/CrDLYFyCJA
2018-01-09 19:39:51+00:00,Microsoft $MSFT Stock Rating Upgraded by Zacks Investment Research https://t.co/U6xTPBKPP1 #stocks
2018-01-09 19:39:50+00:00,Microsoft $MSFT Stock Rating Upgraded by Zacks Investment Research https://t.co/KD6tZDvAvF
2018-01-10 17:32:49+00:00,"As Microsoft $MSFT Stock Rose, United Capital Financial Advisers Has Boosted Holding by $1.57 Million ..."
2018-01-10 16:25:44+00:00,"As Microsoft $MSFT Stock Rose, Shareholder Dt Investment Partners Cut Its Holding by $1.64 Million ..."
2018-01-11 17:14:54+00:00,Hoplite Capital Management LP Cut Position in Microsoft $MSFT as Stock Price Rose https://t.co/EvGs7Tt5OC
2018-01-11 00:05:21+00:00,Somewhat Favorable News Coverage Somewhat Unlikely to Impact Microsoft $MSFT Stock Price https://t.co/S5z8OmQnv5
2018-01-12 22:32:00+00:00,"$MSFT Microsoft #Acquisition Of #Avere Signals #Expansion In #Hybrid #Cloud #Investment, #stock increases +0.03%, #MSFT https://t.co/mCAe1WLHX8"
2018-01-12 21:49:43+00:00,"Overheard: ""Sold $MU after 3 years of hold to buy $MSFT. #Microsoft seems safer, less crazy as a $stock. https://t.co/53tksE2jDy"
2018-01-12 16:53:09+00:00,"As Microsoft $MSFT Stock Rose, Fortaleza Asset Management Has Increased Position https://t.co/k6c9OcU1JC"
2018-01-12 15:57:55+00:00,"Better Tech Stock: Alphabet Or Microsoft?
$GOOG $GOOGL $MSFT https://t.co/PaYz430FAy"
2018-01-14 14:52:40+00:00,"As Microsoft $MSFT Stock Value Rose, Veritas Investment Management Uk LTD Has Decreased Holding by $1.20 Mi..."
2018-01-14 09:20:28+00:00,"$MSFT: Microsoft Corporation has lost a star, now a 3 star stock. (https://t.co/9FXrRT0tbx)"
2018-01-14 03:09:46+00:00,$MSFT Microsoft Stock Analysis: https://t.co/TFUMPzKFN5 #dividends #technology #valueinvesting #yield #dividend #growth https://t.co/QUC8nkuU3K
2018-01-15 10:56:22+00:00,Argyle Capital Management Has Lowered Its Holding in Microsoft $MSFT by $1.06 Million as Stock Rose ...
2018-01-17 18:41:05+00:00,"Pictet &amp; Cie Europe Sa Increased Its Holding in Microsoft $MSFT by $445,406 as Stock Value Rose ..."
2018-01-17 10:32:46+00:00,"Portfolio Solutions Decreased Its Stake in Microsoft Com $MSFT by $370,000 as Stock Rose ..."
