Datetime,Text
2019-01-15 21:03:15+00:00,"Intel $INTC Stock Value Rose While Chemung Canal Trust Company Lowered Its Holding; Godsey &amp; Gibb Associates Position in Microsoft $MSFT Trimmed by $864,234  https://t.co/qmJDlwImr0 https://t.co/4qobSFi5GS"
2019-01-15 20:47:09+00:00,"Bank Of Nova Scotia Halifax $BNS Shareholder Trust Co Of Vermont Has Trimmed Its Position by $725,877 as Share Price Declined; As Microsoft $MSFT Stock Price Declined, Coatue Management Lowered by $118.55 Million Its Stake  https://t.co/SAJQnIFOgn https://t.co/wH9rhzXXsg"
2019-01-15 20:09:14+00:00,"Cornerstone Advisors Cut Stake in Microsoft $MSFT by $460,218; As American Eagle Outfitters New $AEO Stock Value Declined, Shareholder Dalton Greiner Hartman Maher &amp; Co Decreased Stake  https://t.co/D1gAtng3io https://t.co/yaNGn6l5L3"
2019-01-15 20:06:31+00:00,"Microsoft $MSFT Stock Declined While Fulton Bank Lowered by $399,228 Its Stake; As Glaxosmithkline Plc $GSK Market Valuation Declined, Black Creek Investment Management Upped Stake  https://t.co/gG9fkByJjP https://t.co/IUGBHl6BNt"
2019-01-15 20:03:39+00:00,"Microsoft $MSFT Holder Golub Group Cut Its Stake; Continental Building Products  $CBPX Stock Declined While Kames Capital Plc Has Trimmed Its Position by $394,013  https://t.co/fEoqA5S2Vi https://t.co/m34W9OhBka"
2019-01-15 19:52:56+00:00,Sgen $SGEN Holding Held by Jgp Global Gestao De Recursos Ltda; Microsoft $MSFT Shareholder Atlanta Capital Group Has Trimmed Its Stake as Stock Value Declined  https://t.co/28VNRAyUbH https://t.co/VG1v5SmIDH
2019-01-15 18:57:17+00:00,"$CRM $PANW $MSFT -- Microsoft Stock, Salesforce, Palo Alto Rated Top Software Picks This Year https://t.co/xTyjCKnhWG via @IBDinvestors"
2019-01-15 17:23:40+00:00,"Evanson Asset Management Stake in Microsoft $MSFT Cut as Stock Value Declined; Roffman Miller Associates Has Increased Position in Colgate $CL by $336,072 as Stock Value Declined  https://t.co/SbqrzYusKY https://t.co/EyKDt90015"
2019-01-16 21:47:31+00:00,"As Microsoft $MSFT Stock Price Declined, Capital Advisors LTD Upped Holding; Mosaic Co. $The $MOS Shareholder Kempner Capital Management Cut Its Stake by $1.18 Million as Market Valuation Rose  https://t.co/Ca4au9ubuh"
2019-01-16 20:27:52+00:00,"Whittier Trust Co Raised Its Position in Microsoft              Com $MSFT as Stock Declined; As Sally Beauty Holdings  $SBH Stock Value Rose, Auxier Asset Management Boosted Its Position by $524,286  https://t.co/0yvlu0aUNl"
2019-01-16 17:49:31+00:00,Bio Rad Labs Cl A $BIO Stock Declined While Dorsey Wright &amp; Associates Lifted by $4.71 Million Its Holding; Cheviot Value Management Holding in Microsoft $MSFT Has Cut as Market Valuation Declined  https://t.co/k11xn9tY7x
2019-01-16 17:31:02+00:00,"As Microsoft $MSFT Stock Declined, Menlo Advisors Has Lowered Its Position; As Pfizer $PFE Share Value Rose, Mai Wealth Advisors Trimmed Its Position  https://t.co/oM3GkO0xKQ"
2019-01-16 17:30:55+00:00,"Should You Consider Microsoft Stock in 2019?

$MSFT https://t.co/EWj1TerSxy"
2019-01-16 17:27:17+00:00,Gfs Advisors Lowered Its Microsoft $MSFT Holding by $4.47 Million as Stock Value Declined; Arista Networks $ANET Stake Has Raised by Private Wealth Partners Llc  https://t.co/XrCfczpnlQ
2019-01-16 17:22:43+00:00,Should You Consider Microsoft Stock in 2019? $AMZN $GOOG $IBM $IYW $MSFT https://t.co/VynLCPnOoQ https://t.co/fRQmd3QkfJ
2019-01-16 17:04:07+00:00,"Hengehold Capital Management Has Trimmed Position in Microsoft $MSFT by $1.51 Million as Share Value Declined; As Johnson &amp; Johnson $JNJ Stock Rose, Shareholder American Asset Management Has Lowered Position  https://t.co/ak8xFFZsVx"
2019-01-16 16:32:24+00:00,"American Tower New $AMT Shareholder Next Financial Group Has Lowered Its Stake as Stock Price Rose; Cornerstone Advisors Holding in Microsoft $MSFT Has Decreased by $460,218  https://t.co/5aveKwkXcs"
2019-01-16 16:15:58+00:00,"Walmart $WMT Stock Value Declined While Vantage Investment Partners Cut Its Holding; As Microsoft $MSFT Shares Declined, Zweig-Dimenna Associates Raised Stake  https://t.co/qYugmvav6z"
2019-01-16 15:45:01+00:00,"As Microsoft $MSFT Stock Declined, Tradewinds Capital Management Has Trimmed Its Holding by $1.07 Million; Dalton Investments Has Decreased Ambarella $AMBA Position as Share Price Declined  https://t.co/XZQyM3h8co"
2019-01-17 21:31:10+00:00,Here’s Why Microsoft Stock Could Overtake Amazon on Cloud Infrastructure - https://t.co/lsWav2kmd9 $AMZN $MSFT $GOOGL @Beth_Kindig
2019-01-17 21:28:40+00:00,"Mckesson $MCK Stock Declined While Swedbank Has Decreased by $513,348 Its Position; Microsoft $MSFT Shareholder Bkd Wealth Advisors Trimmed Its Stake by $317,946 as Share Value Declined  https://t.co/PRsVDU8NpT"
2019-01-17 21:23:52+00:00,Napco Security Technologies In $NSSC Stake Held by White Pine Capital Llc; Boothbay Fund Management Has Increased Its Microsoft $MSFT Position by $1.07 Million as Stock Declined  https://t.co/3eoeYF3u2c
2019-01-17 21:09:29+00:00,What Next for Microsoft Corporation $MSFT Stock After Increase in Shorted Shares?  https://t.co/SOFiVrjJUI
2019-01-17 19:55:27+00:00,"As Microsoft $MSFT Stock Declined, Holder Seatown Holdings Has Lowered Stake; Pacad Investment LTD Trimmed Its Occidental Pete Del $OXY Stake by $1.43 Million as Share Price Declined  https://t.co/klZTSy6Y4t"
2019-01-17 19:44:34+00:00,Lowe's Companies  $LOW Holder Putnam Fl Investment Management Co Has Decreased Holding; Microsoft $MSFT Shareholder Spc Financial Lowered Its Position as Stock Declined  https://t.co/B1syI88AN8
2019-01-17 19:31:32+00:00,Wells Fargo Co New $WFC Holder Mcdonald Capital Investors Has Decreased Its Stake by $5.75 Million; Microsoft $MSFT Holder Gvo Asset Management LTD Has Cut Its Position by $12.11 Million as Stock Declined  https://t.co/vRaPubZtlh
2019-01-17 18:43:49+00:00,"As Microsoft $MSFT Stock Price Declined, Mcrae Capital Management Has Cut Its Position by $991,800; Lowes Cos $LOW Holder Legal &amp; General Group Plc Has Trimmed Position by $4.87 Million as Stock Value Declined  https://t.co/ICrVWcOZio"
2019-01-17 18:41:02+00:00,"As Bp Prudhoe Bay Rty Tr $BPT Market Valuation Declined, Shareholder Benjamin F Edwards &amp; Company Has Increased Its Stake; Old National Bancorp Has Decreased Microsoft $MSFT Position by $801,420; Stock Declined  https://t.co/aXn0sAJCkt"
2019-01-17 18:38:37+00:00,Alibaba Group Hldg LTD $BABA Stock Declined While Glovista Investments Lowered Position; Moon Capital Management Upped Its Microsoft Com $MSFT Position by $3.58 Million  https://t.co/JRlOvAPKWh
2019-01-17 18:13:28+00:00,"Microsoft $MSFT Market Value Declined While Miller Investment Management LP Lowered Its Position by $307,800; Matrix Asset Advisors Decreased Its Qualcomm $QCOM Position as Stock Price Declined  https://t.co/Jle0P3PXtd"
2019-01-18 21:28:53+00:00,"Farmland Partners $FPI Stock Value Declined While Gilman Hill Asset Management Has Decreased Its Position; Lawson Kroeker Investment Management Has Decreased Position in Microsoft $MSFT by $377,340  https://t.co/4pvqdItzpR"
2019-01-18 21:23:04+00:00,"As Microsoft $MSFT Market Valuation Declined, Shareholder Bloom Tree Partners Lowered by $5.42 Million Its Holding; Duke Energy New $Call $DUK Holder Citigroup Has Cut Holding by $6.66 Million as Stock Rose  https://t.co/4IQnEqh81h"
