Date,TwitterSentiment
2017-01-01,0.7686371207237244
2017-01-02,-0.11743573844432831
2017-01-03,0.4992529898881912
2017-01-04,-0.9951861947774887
2017-01-05,0.3186982274055481
2017-01-06,-0.34899677832921344
2017-01-07,-0.49604419867197674
2017-01-09,-0.07435991366704305
2017-01-10,-0.97774438560009
2017-01-11,-0.9816949665546417
2017-01-12,-0.9779886603355408
2017-01-13,-0.4797405004501343
2017-01-14,-0.96397864818573
2017-01-15,-0.9991965889930725
2017-01-16,-0.49775705734888714
2017-01-17,-0.9966261088848114
2017-01-18,-0.9993446071942648
2017-01-19,0.08863505721092224
2017-01-20,-0.07207050919532776
2017-01-21,-0.9994186162948608
2017-01-22,-0.5884730815887451
2017-01-23,-0.05710020661354065
2017-01-24,-0.9786384403705597
2017-01-25,-0.5481136590242386
2017-01-26,-0.06610323488712311
2017-01-27,-0.5675355195999146
2017-01-29,0.5051220059394836
2017-01-30,-0.464981272816658
2017-01-31,-0.5632802993059158
2017-02-01,-0.4549276828765869
2017-02-02,0.00906836986541748
2017-02-03,-0.3947550803422928
2017-02-04,-0.9663267880678177
2017-02-05,-0.20530173182487488
2017-02-06,0.012166544795036316
2017-02-07,-0.9913625419139862
2017-02-09,-0.9990885456403097
2017-02-10,-0.48443856835365295
2017-02-11,-0.9991965889930725
2017-02-12,0.574825644493103
2017-02-13,-0.99949844678243
2017-02-14,-0.8726822137832642
2017-02-15,-0.17344592014948526
2017-02-16,0.8442791104316711
2017-02-17,0.9797731637954712
2017-02-19,0.9120261371135712
2017-02-20,0.574825644493103
2017-02-21,-0.9609049558639526
2017-02-22,0.19300010800361633
2017-02-24,-0.428819015622139
2017-02-26,0.574825644493103
2017-02-27,-0.3819163739681244
2017-02-28,-0.9916249513626099
2017-03-01,0.7153598070144653
2017-03-02,-0.9973825216293335
2017-03-03,0.4944508820772171
2017-03-05,-0.21111458539962769
2017-03-06,0.7537502944469452
2017-03-08,-0.832036018371582
2017-03-09,-0.9998078942298889
2017-03-10,0.7153598070144653
2017-03-11,-0.9171901941299438
2017-03-12,-0.4397171338399251
2017-03-13,-0.9764144420623779
2017-03-14,-0.4252937237421672
2017-03-15,-0.9469885230064392
2017-03-16,0.7865391075611115
2017-03-18,0.5603469610214233
2017-03-20,0.9982525706291199
2017-03-21,-0.17706578969955444
2017-03-22,-0.3345757722854614
2017-03-23,-0.14073073863983154
2017-03-24,-0.9956360459327698
2017-03-25,-0.9994732737541199
2017-03-26,-0.012233942747116089
2017-03-27,-0.9780346751213074
2017-03-28,-0.4709274470806122
2017-03-29,0.574825644493103
2017-03-30,-0.39768169323603314
2017-04-02,0.7473246455192566
2017-04-03,-0.5254954695701599
2017-04-04,0.574825644493103
2017-04-05,-0.5933905988931656
2017-04-06,0.16566099723180136
2017-04-07,0.930376261472702
2017-04-08,0.7246432453393936
2017-04-09,0.7956194430589676
2017-04-10,0.7280725240707397
2017-04-11,-0.5663987845182419
2017-04-12,-0.09833750128746033
2017-04-13,0.8125100284814835
2017-04-14,0.7143554091453552
2017-04-18,-0.06838788092136383
2017-04-19,-0.9913270771503448
2017-04-20,0.6160513162612915
2017-04-21,-0.8823236525058746
2017-04-22,0.30695809920628864
2017-04-23,0.06433948874473572
2017-04-24,-0.08441834151744843
2017-04-25,-0.21886256337165833
2017-04-26,-0.08041493594646454
2017-04-27,-0.9355344474315643
2017-04-28,-0.4433272182941437
2017-04-29,-0.03533443808555603
2017-04-30,-0.4223551352818807
2017-05-01,-0.4403804540634155
2017-05-02,0.08808377385139465
2017-05-03,0.28636038303375244
2017-05-04,-0.5972278714179993
2017-05-05,-0.908182829618454
2017-05-06,0.7865333557128906
2017-05-08,-0.8494648635387421
2017-05-09,-0.9463609258333842
2017-05-10,-0.9725475907325745
2017-05-11,-0.9832941442728043
2017-05-12,0.477383628487587
2017-05-13,0.7143554091453552
2017-05-14,-0.852432906627655
2017-05-15,0.32396437724431354
2017-05-16,-0.05720633268356323
2017-05-17,-0.8940660059452057
2017-05-18,0.7763144373893738
2017-05-19,-0.9229277769724528
2017-05-20,-0.5075259208679199
2017-05-22,-0.10228075087070465
2017-05-23,-0.3679903596639633
2017-05-25,-0.8803802132606506
2017-05-26,-0.33149083455403644
2017-05-27,0.7143554091453552
2017-05-28,0.07513338327407837
2017-05-29,-0.9400702267885208
2017-05-30,-0.09031945466995239
2017-05-31,-0.12558196485042572
2017-06-01,-0.9890353083610535
2017-06-02,-0.9995189905166626
2017-06-03,-0.9709079712629318
2017-06-05,0.42263078689575195
2017-06-06,-0.3532295028368632
2017-06-08,0.8789748549461365
2017-06-09,0.8461772203445435
2017-06-10,-0.07353667914867401
2017-06-12,0.36626096069812775
2017-06-13,0.7153598070144653
2017-06-14,-0.030906960368156433
2017-06-15,-0.7031909823417664
2017-06-16,-0.3324906826019287
2017-06-17,-0.23897274335225424
2017-06-18,0.8532254695892334
2017-06-19,-0.4421427547931671
2017-06-20,-0.049081072211265564
2017-06-21,-0.3138349652290344
2017-06-22,-0.42009540398915607
2017-06-24,0.9455257654190063
2017-06-25,0.8299405872821808
2017-06-26,-0.02707904577255249
2017-06-27,0.3950160890817642
2017-06-28,0.7153598070144653
2017-06-29,-0.9741029590368271
2017-06-30,-0.9998735189437866
2017-07-01,-0.9996838569641113
2017-07-03,0.7143554091453552
2017-07-04,-0.9991054534912109
2017-07-05,-0.03021472692489624
2017-07-06,-0.9115239183108012
2017-07-07,0.10521811246871948
2017-07-08,0.8875014781951904
2017-07-10,-0.3583337664604187
2017-07-12,0.3085181514422099
2017-07-13,-0.31866973638534546
2017-07-14,-0.919382631778717
2017-07-17,0.4690803736448288
2017-07-18,-0.4927208423614502
2017-07-19,-0.39054159820079803
2017-07-20,-0.8525949269533157
2017-07-21,0.8661381900310516
2017-07-22,0.5354595482349396
2017-07-23,-0.845046877861023
2017-07-24,-0.01688985526561737
2017-07-25,-0.08837708830833435
2017-07-26,-0.0738113522529602
2017-07-27,-0.5018192380666733
2017-07-28,-0.93983194231987
2017-07-29,-0.9985761642456055
2017-07-30,-0.9948947429656982
2017-07-31,-0.513977438211441
2017-08-01,-0.9718096703290939
2017-08-02,-0.14157703518867493
2017-08-03,-0.34201719363530475
2017-08-04,-0.9893750846385956
2017-08-05,-0.9958434402942657
2017-08-06,0.8875014781951904
