Date,TwitterSentiment
2017-01-01,-0.7591408111832358
2017-01-02,0.4220625974915244
2017-01-03,0.30472359332171356
2017-01-04,-0.11758376793427901
2017-01-05,-0.3383589441126043
2017-01-06,0.39883983677083795
2017-01-07,0.5272783095186407
2017-01-08,0.17030926726081155
2017-01-09,0.5144476890563965
2017-01-10,0.6394909024238586
2017-01-11,0.794706252488223
2017-01-12,-0.05041877789930864
2017-01-13,0.35644350810484454
2017-01-14,0.5957911989905618
2017-01-15,0.33493288538672705
2017-01-16,0.2996996749531139
2017-01-17,0.1283559094775807
2017-01-18,0.5811748883940957
2017-01-19,0.6050683747638356
2017-01-20,0.4354066090150313
2017-01-21,0.5090720653533936
2017-01-22,0.535367407582023
2017-01-23,0.10493346235968849
2017-01-24,0.5732147205959667
2017-01-25,0.2869979847561229
2017-01-26,0.679318449713967
2017-01-27,0.23362935131246393
2017-01-28,0.2656606544147838
2017-01-29,0.8105148564685475
2017-01-30,0.31751742688092316
2017-01-31,0.2643147381869229
2017-02-01,0.28765201568603516
2017-02-02,-0.14293615926395764
2017-02-03,-0.13202478127046066
2017-02-04,0.4112717834385959
2017-02-05,-0.08921027725393121
2017-02-06,0.41172189062291925
2017-02-07,0.08796314217827537
2017-02-08,0.09634463895450938
2017-02-09,0.22182432087984952
2017-02-10,0.5699403827840631
2017-02-11,0.3051675720648332
2017-02-12,-0.09787144444205544
2017-02-13,0.8132223270156167
2017-02-14,0.7051727500828829
2017-02-15,0.7102049914273348
2017-02-16,0.6189636533910577
2017-02-17,0.34735383228822186
2017-02-18,0.5227448127486489
2017-02-19,0.31206517869775946
2017-02-20,0.6196409626440569
2017-02-21,0.7273097634315491
2017-02-22,0.4119545112956654
2017-02-23,0.2871555035764521
2017-02-24,0.11886347423900258
2017-02-25,0.5680096366188743
2017-02-26,0.14314144849777222
2017-02-27,0.47166666659441864
2017-02-28,0.8528784134171226
2017-03-01,0.6850108666853472
2017-03-02,0.53968346118927
2017-03-03,-0.2797312086278742
2017-03-04,0.5765022852204063
2017-03-05,0.288757633079182
2017-03-06,0.46287460218776355
2017-03-07,0.4847621592608365
2017-03-08,0.4491507248444991
2017-03-09,0.48453394933180377
2017-03-10,0.714724291454662
2017-03-11,0.3002798394723372
2017-03-12,0.6289859793402932
2017-03-13,0.6195163239132274
2017-03-14,0.6546663425185464
2017-03-15,0.7194613272493536
2017-03-16,0.5513105121525851
2017-03-17,0.6701135201887651
2017-03-18,0.5568277619101785
2017-03-19,0.5588895786892284
2017-03-20,0.3673287738453258
2017-03-21,0.8583216667175293
2017-03-22,0.6007380485534668
2017-03-23,0.8062275323000822
2017-03-24,0.1948183449831876
2017-03-25,0.5236660659313201
2017-03-26,0.7020709276199341
2017-03-27,0.7995364449240945
2017-03-28,0.12611288915980945
2017-03-29,0.4214402816512368
2017-03-30,0.721955348144878
2017-03-31,0.6063484928824685
2017-04-01,0.449790667403828
2017-04-02,0.6967776309360157
2017-04-03,0.30555136095393787
2017-04-04,0.5684247504581105
2017-04-05,0.43501483310352673
2017-04-06,0.29755895788019354
2017-04-07,-0.018221687186848034
2017-04-08,0.750277351249348
2017-04-09,0.5220282782207836
2017-04-10,0.37064478072253143
2017-04-11,0.15792379596016623
2017-04-12,0.8113244555213235
2017-04-13,0.05461775714700872
2017-04-14,-0.16082248904488303
2017-04-15,0.335102606903423
2017-04-16,0.43264108896255493
2017-04-17,0.05398175391283902
2017-04-18,0.4084753394126892
2017-04-19,-0.2684445381164551
2017-04-20,0.33843009580265393
2017-04-21,0.7296951088038358
2017-04-22,0.4304745088924061
2017-04-23,0.11523223465139215
2017-04-24,0.3023363676938144
2017-04-25,0.8663797161795876
2017-04-26,0.3189752318642356
2017-04-27,0.5754178924994036
2017-04-28,0.7496786605228077
2017-04-29,0.565329600464214
2017-04-30,0.570160833272067
2017-05-01,0.21296267617832532
2017-05-02,0.1495816165750677
2017-05-03,0.12355923652648926
2017-05-04,0.16549982807853006
2017-05-05,0.6880008795044639
2017-05-06,0.36040579730814154
2017-05-07,0.8973999348553744
2017-05-08,0.33172182603315875
2017-05-09,0.3424539728598161
2017-05-10,0.44897298921238293
2017-05-11,0.5871691432866183
2017-05-12,0.5917598550969904
2017-05-13,0.5443230379711498
2017-05-14,0.4271787459200079
2017-05-15,0.5667888522148132
2017-05-16,0.397400054064664
2017-05-17,0.2959271290085532
2017-05-18,0.09969771992076527
2017-05-19,0.17079980806870895
2017-05-20,0.32229491797360504
2017-05-21,0.26324683969671075
2017-05-22,0.6076026125387712
2017-05-23,0.5455725193023682
2017-05-24,0.027352295138619163
2017-05-25,0.5449970093640414
2017-05-26,0.8274611234664917
2017-05-27,0.6635753349824385
2017-05-28,0.7154907313260165
2017-05-29,-0.05022287368774414
2017-05-30,0.3902338580651717
2017-05-31,0.654993165623058
2017-06-01,0.0718461654402993
2017-06-02,0.13091105764562433
2017-06-03,0.8131104707717896
2017-06-04,0.6748315746133978
2017-06-05,0.7380541183731772
2017-06-06,0.6782812692902305
2017-06-07,0.2758826559240168
2017-06-08,0.31390767205845227
2017-06-09,0.34434534202922473
2017-06-10,0.8325060064142401
2017-06-11,-0.03379189968109131
2017-06-12,0.267319608818401
2017-06-13,0.5628737102855336
2017-06-14,0.2486293695189736
2017-06-15,0.49808646873994306
2017-06-16,0.45295564152977685
2017-06-17,0.30443736098029395
2017-06-18,0.8511064973744479
2017-06-19,0.5044427947564558
2017-06-20,0.6005861054767262
2017-06-21,0.47156485644253815
2017-06-22,-0.10922155596993187
2017-06-23,0.5748332359574058
